seed,threshold,output_class_index,hcat_code,class_name,emitted_count,errors,empirical_risk,risk_upper,coverage_contribution,coverage_contribution_lower,risk_certified
2,0.9,4,3301010402,spring barley,243,15,0.06172839506172839,0.1320334669623744,0.023316062176165803,0.01858284395763743,False
2,0.9,5,3301010500,oats,7,0,0.0,0.6843074822205404,0.0006716561120706199,0.0001194789822512865,False
2,0.9,6,3301010600,grain maize,54,0,0.0,0.1388281697138063,0.0051813471502590676,0.003107906173138719,False
2,0.9,7,3301020100,beans,3,1,0.3333333333333333,0.9897587719426569,0.0002878526194588371,1.2214166634993973e-05,False
2,0.9,8,3301020600,peas,185,6,0.032432432432432434,0.10269249005824309,0.017750911533294954,0.013653243484881838,False
2,0.9,9,3301030000,potatoes,28,8,0.2857142857142857,0.6223627125810577,0.0026866244482824796,0.0012826631315525638,False
2,0.9,10,3301060401,winter rapeseed,871,18,0.02066590126291619,0.04263048092230659,0.0835732105162157,0.07457969582723056,True
2,0.9,11,3301070000,fresh vegetables,0,0,,1.0,0.0,0.0,False
2,0.9,12,3301090301,alfalfa,2,0,0.0,0.9823223304703363,0.00019190174630589137,2.419106804874005e-06,False
2,0.9,13,3301090303,clover,190,15,0.07894736842105263,0.1670602665366677,0.01823066589905968,0.014074403442203898,False
2,0.9,14,3301110000,fallow land,1,0,0.0,0.9996875,9.595087315294569e-05,2.998933346098909e-08,False
2,0.9,15,3301150200,buckwheat,27,0,0.0,0.2583830787215271,0.0025906735751295338,0.0012177087960137944,False
2,0.95,0,3301010101,winter common soft wheat,1375,33,0.024,0.04149677515996933,0.13193245058530031,0.12083598814461205,True
2,0.95,1,3301010102,spring common soft wheat,0,0,,1.0,0.0,0.0,False
2,0.95,2,3301010300,rye,19,0,0.0,0.346089332563679,0.0018230665899059682,0.0007218417502644625,False
2,0.95,3,3301010401,winter barley,203,9,0.04433497536945813,0.11603830426135286,0.019478027250047974,0.015173102741239619,False
2,0.95,4,3301010402,spring barley,115,4,0.034782608695652174,0.134533395328346,0.011034350412588755,0.007864644627304296,False
2,0.95,5,3301010500,oats,0,0,,1.0,0.0,0.0,False
2,0.95,6,3301010600,grain maize,38,0,0.0,0.19135256914009735,0.0036461331798119364,0.0019581632767852186,False
2,0.95,7,3301020100,beans,0,0,,1.0,0.0,0.0,False
2,0.95,8,3301020600,peas,98,2,0.02040816326530612,0.1218657133943422,0.009403185568988677,0.006500602497081176,False
2,0.95,9,3301030000,potatoes,7,1,0.14285714285714285,0.8058517457433175,0.0006716561120706199,0.0001194789822512865,False
2,0.95,10,3301060401,winter rapeseed,849,12,0.014134275618374558,0.03379925283452779,0.0814622913068509,0.07257767845187457,True
2,0.95,11,3301070000,fresh vegetables,0,0,,1.0,0.0,0.0,False
